date,1. open,2. high,3. low,4. close,5. volume
2024-03-15,419.29,422.6,412.79,416.42,45079903.0
2024-03-14,420.24,427.82,417.99,425.22,33955263.0
2024-03-13,418.1,418.18,411.45,415.1,16990048.0
2024-03-12,407.62,415.57,406.79,415.28,21563656.0
2024-03-11,403.76,405.68,401.26,404.52,15998511.0
2024-03-08,407.96,410.42,404.33,406.22,18002186.0
2024-03-07,406.12,409.78,402.24,409.14,18718479.0
2024-03-06,402.97,405.16,398.39,402.09,22344149.0
2024-03-05,413.96,414.25,400.64,402.65,26919177.0
2024-03-04,413.44,417.35,412.32,414.92,17595956.0
2024-03-01,411.27,415.87,410.88,415.5,17823445.0
2024-02-29,408.64,414.2,405.92,413.64,31947263.0
2024-02-28,408.175,409.3,405.3201,407.72,13183125.0
2024-02-27,407.99,408.32,403.85,407.48,14835827.0
2024-02-26,411.455,412.16,407.36,407.54,16193505.0
2024-02-23,415.67,415.86,408.97,410.34,16295879.0
2024-02-22,410.19,412.83,408.57,411.65,27009869.0
2024-02-21,400.17,402.29,397.22,402.18,18631072.0
2024-02-20,403.24,404.49,398.01,402.79,24307915.0
2024-02-16,407.96,408.29,403.44,404.06,22296495.0
2024-02-15,408.14,409.13,404.29,406.56,21825525.0
2024-02-14,408.07,409.84,404.57,409.49,20401190.0
2024-02-13,404.94,410.071,403.39,406.32,27824936.0
2024-02-12,420.555,420.74,414.75,415.26,21202921.0
2024-02-09,415.25,420.82,415.09,420.55,22032844.0
2024-02-08,414.05,415.56,412.53,414.11,21225257.0
2024-02-07,407.44,414.3,407.4,414.05,22340526.0
2024-02-06,405.88,407.97,402.91,405.49,18382624.0
2024-02-05,409.9,411.16,403.99,405.65,25352286.0
2024-02-02,403.81,412.65,403.56,411.22,28256670.0
2024-02-01,401.83,408.0,401.8,403.78,30657726.0
2024-01-31,406.96,415.32,397.21,397.58,47871097.0
2024-01-30,412.26,413.05,406.4501,408.59,33477610.0
2024-01-29,406.06,409.98,404.33,409.72,24510236.0
2024-01-26,404.37,406.17,402.43,403.93,17803271.0
2024-01-25,404.32,407.01,402.5294,404.87,21021155.0
2024-01-24,401.54,405.63,400.45,402.56,23281889.0
2024-01-23,395.75,399.38,393.93,398.9,20525882.0
2024-01-22,400.02,400.62,393.59,396.51,27016902.0
2024-01-19,395.76,398.67,393.5,398.67,29331136.0
2024-01-18,391.72,393.99,390.12,393.87,23392068.0
2024-01-17,387.98,390.11,384.81,389.47,22234108.0
2024-01-16,393.66,394.03,387.6229,390.27,27202268.0
2024-01-12,385.49,388.68,384.65,388.47,21661153.0
2024-01-11,386.0,390.68,380.38,384.63,27850846.0
2024-01-10,376.37,384.17,376.32,382.77,25514245.0
2024-01-09,372.01,375.99,371.19,375.79,20829953.0
2024-01-08,369.3,375.2,369.01,374.69,23133967.0
2024-01-05,368.97,372.06,366.5,367.75,20074451.0
2024-01-04,370.665,373.1,367.17,367.94,20901502.0
2024-01-03,369.01,373.2562,368.51,370.6,23083465.0
2024-01-02,373.86,375.9,366.771,370.87,25258633.0
2023-12-29,376.0,377.16,373.48,376.04,18730838.0
2023-12-28,375.37,376.458,374.16,375.28,14327013.0
2023-12-27,373.69,375.06,372.8116,374.07,14872756.0
2023-12-26,375.0,376.94,373.5,374.66,12673050.0
2023-12-22,373.68,375.18,372.71,374.58,17107484.0
2023-12-21,372.56,374.41,370.04,373.54,17708006.0
2023-12-20,375.0,376.03,370.53,370.62,26316650.0
2023-12-19,371.49,373.26,369.84,373.26,20533284.0
2023-12-18,369.45,373.0,368.68,372.65,21802878.0
2023-12-15,366.85,372.4,366.28,370.73,78502324.0
2023-12-14,373.31,373.76,364.13,365.93,43277461.0
2023-12-13,376.02,377.6361,370.77,374.37,30955531.0
2023-12-12,370.85,374.42,370.46,374.38,24838253.0
2023-12-11,368.48,371.6,366.1,371.3,27708757.0
2023-12-08,369.2,374.46,368.23,374.23,20154366.0
2023-12-07,368.23,371.4527,366.32,370.95,23118864.0
2023-12-06,373.54,374.18,368.03,368.8,21118348.0
2023-12-05,366.45,373.075,365.621,372.52,23065035.0
2023-12-04,369.1,369.52,362.9,369.14,32063305.0
2023-12-01,376.76,378.16,371.31,374.51,33040472.0
2023-11-30,378.49,380.09,375.47,378.91,30554415.0
2023-11-29,383.76,384.3,377.44,378.85,28963399.0
2023-11-28,378.35,383.0,378.16,382.7,20453112.0
2023-11-27,376.78,380.64,376.2,378.61,22179228.0
2023-11-24,377.33,377.97,375.135,377.43,10176649.0
2023-11-22,378.0,379.7899,374.965,377.85,23361184.0
2023-11-21,375.67,376.2215,371.12,373.07,28423145.0
2023-11-20,371.22,378.87,371.0,377.44,52528964.0
2023-11-17,373.61,374.37,367.0,369.85,40325371.0
2023-11-16,370.96,376.35,370.18,376.17,27182315.0
2023-11-15,371.28,373.13,367.11,369.67,26860095.0
2023-11-14,371.01,371.95,367.3454,370.27,27683862.0
2023-11-13,368.22,368.47,365.9,366.68,19986506.0
2023-11-10,361.49,370.1,361.07,369.67,28065164.0
2023-11-09,362.3,364.79,360.362,360.69,24847331.0
2023-11-08,361.68,363.87,360.55,363.2,26767828.0
2023-11-07,359.4,362.46,357.63,360.53,25833931.0
2023-11-06,353.45,357.54,353.35,356.53,23828301.0
2023-11-03,349.63,354.39,347.33,352.8,23637673.0
2023-11-02,347.24,348.83,344.77,348.32,24348072.0
2023-11-01,339.79,347.42,339.65,346.07,28158819.0
2023-10-31,338.85,339.0,334.69,338.11,20265282.0
2023-10-30,333.41,339.45,331.83,337.31,22828082.0
2023-10-27,330.425,336.72,328.4007,329.81,29856522.0
2023-10-26,340.54,341.63,326.94,327.89,37828543.0
2023-10-25,345.02,346.2,337.62,340.67,55053828.0
2023-10-24,331.3,331.84,327.6,330.53,31153571.0
2023-10-23,325.47,332.725,324.39,329.32,24374748.0
